item_name,ing_id,ing_name,ing_weight,ing_price,recep_quantity,order_quantity,unit_cost,ordered_weight,ingredient_cost
"Pizza Margherita Large",ING004,Oregano,0.5000,5.99,3,451,11.980000,0.67650000,8.10447000000000
"Pizza Margherita Large",ING003,Mozzarella,2.5000,14.45,13,451,5.780000,14.65750000,84.72035000000000
"Pizza Margherita Large",ING002,"Tomato Sauce",4.5000,3.89,15,451,0.864444,30.44250000,26.31585000000000
"Pizza Margherita Large",ING001,"Pizza Base",2.0000,4.22,60,451,2.110000,54.12000000,114.19320000000000
"Garlic Bread",ING022,Parsley,2.5000,5.25,5,432,2.100000,5.40000000,11.34000000000000
"Garlic Bread",ING021,"Garlic butter",1.2500,34.45,3,432,27.560000,1.62000000,44.64720000000000
"Garlic Bread",ING020,Bread,3.0000,69.83,15,432,23.276667,19.44000000,452.49840000000000
"Garlic Bread",ING019,Clabatta,2.0000,52.10,5,432,26.050000,4.32000000,112.53600000000000
"Pizza Parmigiana Large",ING008,"Parmesan Cheese",2.5000,18.75,20,437,7.500000,21.85000000,163.87500000000000
"Pizza Parmigiana Large",ING007,Eggplants,1.0000,1.90,15,437,1.900000,6.55500000,12.45450000000000
"Pizza Parmigiana Large",ING003,Mozzarella,2.5000,14.45,6,437,5.780000,6.55500000,37.88790000000000
"Pizza Parmigiana Large",ING001,"Pizza Base",2.0000,4.22,60,437,2.110000,52.44000000,110.64840000000000
"Pizza Napolitana Large",ING012,Capers,1.0000,4.16,10,450,4.160000,4.50000000,18.72000000000000
"Pizza Napolitana Large",ING011,Anchovies,1.0000,10.99,15,450,10.990000,6.75000000,74.18250000000000
"Pizza Napolitana Large",ING003,Mozzarella,2.5000,14.45,5,450,5.780000,5.62500000,32.51250000000000
"Pizza Napolitana Large",ING001,"Pizza Base",2.0000,4.22,60,450,2.110000,54.00000000,113.94000000000000
"Strawberry Ice Cream",ING030,Strawberry,4.0000,20.99,5,419,5.247500,8.38000000,43.97405000000000
"Strawberry Ice Cream",ING027,Milk,0.1000,11.25,15,419,112.500000,0.62850000,70.70625000000000
"Coca Cola 1.5l",ING039,"Coca Cola Regular",10.0000,3.60,50,440,0.360000,220.00000000,79.20000000000000
"Pizza Napolitana Regular",ING012,Capers,1.0000,4.16,5,385,4.160000,1.92500000,8.00800000000000
"Pizza Napolitana Regular",ING011,Anchovies,1.0000,10.99,10,385,10.990000,3.85000000,42.31150000000000
"Pizza Napolitana Regular",ING003,Mozzarella,2.5000,14.45,4,385,5.780000,3.85000000,22.25300000000000
"Pizza Napolitana Regular",ING001,"Pizza Base",2.0000,4.22,50,385,2.110000,38.50000000,81.23500000000000
"Diet Coke 33cl",ING040,"Coca Cola Diet",10.0000,3.80,10,483,0.380000,48.30000000,18.35400000000000
"7 Up 1.5l",ING041,"7 Up Regular",7.5000,3.55,50,410,0.473333,153.75000000,72.77500000000000
"Sparkling Water 1.5l",ING038,Perrier,7.5000,2.87,20,486,0.382667,72.90000000,27.89640000000000
"Sparkling Water 1.5l",ING037,"San Pelegrino",7.5000,2.35,20,486,0.313333,72.90000000,22.84200000000000
"Pizza Diavola Large",ING006,"Chilli Pepper",1.0000,6.49,20,451,6.490000,9.02000000,58.53980000000000
"Pizza Diavola Large",ING005,"Spicy Salami",3.5000,37.64,10,451,10.754286,15.78500000,169.75640000000000
"Pizza Diavola Large",ING003,Mozzarella,2.5000,14.45,8,451,5.780000,9.02000000,52.13560000000000
"Pizza Diavola Large",ING001,"Pizza Base",2.0000,4.22,60,451,2.110000,54.12000000,114.19320000000000
"Vanilla Ice Cream",ING028,Vanilla,4.0000,24.99,5,387,6.247500,7.74000000,48.35565000000000
